coach_name,Country,Discipline
ARNAU CREUS Xavier,Japan,Hockey
de VOS Robbert-Jan,Netherlands,Hockey
LOUCKS Luke,Nigeria,Basketball
RIISE Hege,Great Britain,Football
AMO AGUADO Pablo,Spain,Football
RILLIE John,Australia,Basketball
MEZHENINA Valeriia,Ukraine,Artistic Swimming
MLADENOVA Albena,Austria,Artistic Swimming
MOHAMMED Silifat,Nigeria,Basketball
KERRY Danny,Great Britain,Hockey
SPERONI Stefania,Great Britain,Artistic Swimming
VITORINO de SOUZA Marcelo,Kenya,Volleyball
GRAINGER Adam,Ireland,Hockey
ROQUES Anthony,Great Britain,Rugby Sevens
HARDY William,United States of America,Basketball
SOLBERG Glenn,Sweden,Handball
LOPEZ Monica Susana,Argentina,Artistic Swimming
McLEOD Shane,Belgium,Hockey
RECKINGER Xavier,Germany,Hockey
BATISTA SANTIAGO Gerardo,Puerto Rico,Basketball
CHERNETSKA Natalia,Greece,Artistic Swimming
LANG Ping,People's Republic of China,Volleyball
de OLIVEIRA Marcus Ricardo,Brazil,Handball
HARROW Laing,Australia,Baseball/Softball
PARADELO David,Canada,Water Polo
BAO Zhuang,People's Republic of China,Volleyball
BATCH Colin,Australia,Hockey
TERZIC Zoran,Serbia,Volleyball
MOHAMED Mai,Egypt,Artistic Swimming
WRIGHT Jerold,United States of America,Basketball
GARCIA HERRERA Manuel,Dominican Republic,Baseball/Softball
JACOBSEN Nikolaj,Denmark,Handball
MIRET GARCIA Daniel,Spain,Basketball
LOPEZ GUILLEN Melvyn,Dominican Republic,Basketball
RIBERA ROMANS Jordi,Spain,Handball
KANUNGO Bergin,Zambia,Football
KIM Chanbin,Republic of Korea,Football
NAKADA Kumi,Japan,Volleyball
SACCHETTI Romeo,Italy,Basketball
ABDELMAGID Wael,Egypt,Football
BLECHER SIDOROVA Svetlana,Israel,Artistic Swimming
BURLANDO Giovanna,Italy,Artistic Swimming
VLACHOS Theodoros,Greece,Water Polo
LAZARO CORRAL Jesus,Spain,Basketball
PAGAN CRISTOBAL Angel,Puerto Rico,Basketball
ROEDL Henrik,Germany,Basketball
ZONDI Nkuliso,South Africa,Hockey
FAVAREL Pablo,Venezuela,Basketball
MOTOMIYA Makihiro,Japan,Water Polo
TURNER Glenn,New Zealand,Hockey
MORIYASU Hajime,Japan,Football
ANNAN Alyson,Netherlands,Hockey
JARDINE Andre,Brazil,Football
LOCK Adrian Mayner,Spain,Hockey
FATOVIC Elvis,Australia,Water Polo
DANCER Sean,Ireland,Hockey
GUIMARAES Jose Roberto,Brazil,Volleyball
SHAHNAZI Shahbaz,Austria,Artistic Swimming
CHEPAK Anastasiya,Egypt,Artistic Swimming
ENQUIST Susan,United States of America,Volleyball
OCA GAIA Miguel Angel,Spain,Water Polo
DIAZ HENRIQUEZ Nestor,Dominican Republic,Basketball
CHIARI Simona,San Marino,Artistic Swimming
DROBNJAK Dragisa,Slovenia,Basketball
GUIDETTI Giovanni,Turkey,Volleyball
KRIST JANSSON Aron,Bahrain,Handball
SINGH Shivendra,India,Hockey
