team_name,Discipline,Country
Serbia,3x3 Basketball,Serbia
Pavan/Melissa,Beach Volleyball,Canada
Poland,Fencing,Poland
ROC,Rhythmic Gymnastics,ROC
France,Artistic Gymnastics,France
Australia,Baseball/Softball,Australia
Austria,Cycling Track,Austria
United States,Cycling Track,United States of America
Belarus,Artistic Swimming,Belarus
Brazil,Athletics,Brazil
Evandro/Bruno Schmidt,Beach Volleyball,Brazil
Spain,Swimming,Spain
Poland,Athletics,Poland
Dominican Rep.,Baseball/Softball,Dominican Republic
Japan,Baseball/Softball,Japan
Australia,Rhythmic Gymnastics,Australia
Heidrich/Gerson,Beach Volleyball,Switzerland
France,Handball,France
Xue/Wang X.X.,Beach Volleyball,People's Republic of China
Sude/Borger,Beach Volleyball,Germany
Spain,Handball,Spain
Poland,Volleyball,Poland
Lithuania,Cycling Track,Lithuania
Israel,Swimming,Israel
Netherlands,3x3 Basketball,Netherlands
United States,Baseball/Softball,United States of America
Netherlands,Cycling Track,Netherlands
Japan,Table Tennis,Japan
Portugal,Table Tennis,Portugal
Korea,Artistic Gymnastics,Republic of Korea
Plavins/Tocs,Beach Volleyball,Latvia
Canada,Swimming,Canada
ROC,Artistic Swimming,ROC
Wang/X.Y.Xia,Beach Volleyball,People's Republic of China
Tunisia,Fencing,Tunisia
South Africa,Football,South Africa
Spain,Hockey,Spain
Rep. of Moldova,Archery,Republic of Moldova
France,Triathlon,France
United States,Artistic Gymnastics,United States of America
Austria,Artistic Swimming,Austria
Poland,3x3 Basketball,Poland
Canada,Archery,Canada
China,Artistic Gymnastics,People's Republic of China
"Verge-Depre, A./Heidrich",Beach Volleyball,Switzerland
Serbia,Volleyball,Serbia
Italy,3x3 Basketball,Italy
Spain,Football,Spain
Great Britain,Triathlon,Great Britain
Croatia,Water Polo,Croatia
Germany,Football,Germany
Republic of Korea,Handball,Republic of Korea
Australia,Swimming,Australia
Great Britain,Athletics,Great Britain
Honduras,Football,Honduras
France,Rugby Sevens,France
Netherlands,Swimming,Netherlands
Spain,Triathlon,Spain
Tunisia,Volleyball,Tunisia
Germany,Table Tennis,Germany
ROC,Fencing,ROC
Great Britain,Football,Great Britain
Japan,Rugby Sevens,Japan
Lithuania,Swimming,Lithuania
Ukraine,Artistic Gymnastics,Ukraine
Makokha/Khadambi,Beach Volleyball,Kenya
Chile,Football,Chile
New Zealand,Hockey,New Zealand
"Hong Kong, China",Swimming,"Hong Kong, China"
WONG Chun Ting / DOO Hoi Kem,Table Tennis,"Hong Kong, China"
China,Cycling Track,People's Republic of China
Austria,Triathlon,Austria
Republic of Korea,Volleyball,Republic of Korea
Herrera/Gavira,Beach Volleyball,Spain
Canada,Cycling Track,Canada
Argentina,Volleyball,Argentina
Japan,Water Polo,Japan
France,Cycling Track,France
Japan,3x3 Basketball,Japan
Australia,Basketball,Australia
Menegatti/Orsi Toth,Beach Volleyball,Italy
Ishii/Murakami,Beach Volleyball,Japan
South Africa,Triathlon,South Africa
ROC,Water Polo,ROC
Italy,Basketball,Italy
United States,Fencing,United States of America
United States,Water Polo,United States of America
Ludwig/Kozuch,Beach Volleyball,Germany
Krasilnikov/Stoyanovskiy,Beach Volleyball,ROC
South Africa,Hockey,South Africa
Islamic Rep. of Iran,Volleyball,Islamic Republic of Iran
Zambia,Football,Zambia
Croatia,Table Tennis,Croatia
China,Volleyball,People's Republic of China
Azaad/Capogrosso,Beach Volleyball,Argentina
China,3x3 Basketball,People's Republic of China
Kenya,Volleyball,Kenya
France,Archery,France
Poland,Archery,Poland
Sweden,Football,Sweden
China,Fencing,People's Republic of China
Japan,Cycling Track,Japan
Egypt,Football,Egypt
New Zealand,Swimming,New Zealand
Argentina,Handball,Argentina
Canada,Triathlon,Canada
Ukraine,Artistic Swimming,Ukraine
Gottsu/Shiratori,Beach Volleyball,Japan
Australia,Rugby Sevens,Australia
United States,Archery,United States of America
Germany,Artistic Gymnastics,Germany
Perusic/Schweiner,Beach Volleyball,Czech Republic
Liliana/Elsa,Beach Volleyball,Spain
Netherlands,Water Polo,Netherlands
Belgium,3x3 Basketball,Belgium
Greece,Artistic Swimming,Greece
Egypt,Handball,Egypt
Argentina,Hockey,Argentina
France,Swimming,France
United States,Table Tennis,United States of America
China,Basketball,People's Republic of China
Nicolai/Lupo,Beach Volleyball,Italy
Thole J./Wickler,Beach Volleyball,Germany
Bryl/Fijalek,Beach Volleyball,Poland
Denmark,Cycling Track,Denmark
Poland,Cycling Track,Poland
Ireland,Rugby Sevens,Ireland
Japan,Volleyball,Japan
Botswana,Athletics,Botswana
XU Xin / LIU Shiwen,Table Tennis,People's Republic of China
LIN Yun Ju / CHENG I Ching,Table Tennis,Chinese Taipei
Egypt,Fencing,Egypt
United States,Swimming,United States of America
Canada,Artistic Gymnastics,Canada
Nigeria,Basketball,Nigeria
Saudi Arabia,Football,Saudi Arabia
Denmark,Swimming,Denmark
Australia,Water Polo,Australia
Romania,3x3 Basketball,Romania
Germany,Handball,Germany
Portugal,Handball,Portugal
Singapore,Table Tennis,Singapore
Great Britain,Cycling Track,Great Britain
Israel,Artistic Swimming,Israel
United States,Artistic Swimming,United States of America
China,Rugby Sevens,People's Republic of China
ROC,Volleyball,ROC
Israel,Rhythmic Gymnastics,Israel
Poland,Table Tennis,Poland
Tunisia,Archery,Tunisia
Argentina,Rugby Sevens,Argentina
Italy,Artistic Swimming,Italy
Jamaica,Athletics,Jamaica
"Hong Kong, China",Cycling Track,"Hong Kong, China"
ROC,Cycling Track,ROC
South Africa,Rugby Sevens,South Africa
Turkey,Swimming,Turkey
Serbia,Table Tennis,Serbia
New Zealand,Triathlon,New Zealand
C�te d�Ivoire,Football,C�te d'Ivoire
Austria,Table Tennis,Austria
ROC,Archery,ROC
France,Basketball,France
Netherlands,Handball,Netherlands
Canada,Hockey,Canada
SZUDI Adam / PERGEL Szandra,Table Tennis,Hungary
Great Britain,Archery,Great Britain
Japan,Archery,Japan
Belgium,Triathlon,Belgium
Ukraine,Archery,Ukraine
Czech Republic,Athletics,Czech Republic
Italy,Baseball/Softball,Italy
Agatha/Duda,Beach Volleyball,Brazil
Nigeria,Athletics,Nigeria
Lidy/Leila,Beach Volleyball,Cuba
Graudina/Kravcenoka,Beach Volleyball,Latvia
France,Football,France
Brazil,Table Tennis,Brazil
Italy,Volleyball,Italy
Republic of Korea,Table Tennis,Republic of Korea
China,Archery,People's Republic of China
Netherlands,Athletics,Netherlands
Australia,Artistic Swimming,Australia
Brazil,Swimming,Brazil
Dominican Rep.,Volleyball,Dominican Republic
Italy,Athletics,Italy
Slovenia,Basketball,Slovenia
Brazil,Rhythmic Gymnastics,Brazil
Azerbaijan,Rhythmic Gymnastics,Azerbaijan
South Africa,Swimming,South Africa
Hermannova/Slukova,Beach Volleyball,Czech Republic
Makroguzova/Kholomina,Beach Volleyball,ROC
Spain,Cycling Track,Spain
