Discipline,total_male_entries,total_female_entries
Tennis,97,94
Boxing,187,102
Marathon Swimming,25,25
Golf,60,60
Rowing,265,257
Judo,201,192
Baseball/Softball,144,90
Sailing,175,175
Swimming,418,361
Cycling BMX Freestyle,9,10
Basketball,144,144
Handball,168,168
Rhythmic Gymnastics,0,96
Karate,42,40
Triathlon,55,55
Badminton,87,86
Canoe Sprint,126,123
Athletics,1072,969
Cycling Track,99,90
Beach Volleyball,48,48
Skateboarding,40,40
Equestrian,125,73
Shooting,178,178
Diving,71,72
Canoe Slalom,41,41
Rugby Sevens,151,146
Artistic Gymnastics,98,98
Cycling Mountain Bike,38,38
3x3 Basketball,32,32
Cycling Road,131,70
Wrestling,193,96
Table Tennis,86,86
Taekwondo,65,65
Water Polo,146,122
Weightlifting,99,98
Surfing,20,20
Sport Climbing,20,20
Cycling BMX Racing,24,24
Trampoline Gymnastics,16,16
Modern Pentathlon,36,36
Volleyball,144,144
Archery,64,64
Artistic Swimming,0,105
Fencing,108,107
Hockey,192,192
Football,344,264
